family,analysis_condition,severity_index,artifact_type,cell,distance_m,snr_db,air_absorption,degradation,feature_group,n_features,n_zero_reference_sd,n_zero_drift_denominator,n_infinite_feature_drifts,max_epsilon_x,mean_drift_reference_sd,endpoint_ba_mean,endpoint_ba_sd
location,10m_30db,2,environment,10m_30db,10.0,30.0,True,,mfcc,26,0,0,0,0.0001242907485961914,17.787230388384128,0.58,0.3692242280948596
location,10m_30db,2,environment,10m_30db,10.0,30.0,True,,time_domain,11,1,0,0,0.0029917410041680336,47.325102789937816,0.58,0.3692242280948596
location,10m_30db,2,environment,10m_30db,10.0,30.0,True,,frame_energy,8,2,0,0,0.00011432056513526511,896638646073.069,0.58,0.3692242280948596
location,10m_30db,2,environment,10m_30db,10.0,30.0,True,,band_ratios,8,3,3,0,7.213711738586425e-07,0.8195179066873785,0.58,0.3692242280948596
location,10m_30db,2,environment,10m_30db,10.0,30.0,True,,local_transient,4,1,0,0,4.050676797735933e-05,180101866969.454,0.58,0.3692242280948596
location,10m_15db,3,environment,10m_15db,10.0,15.0,True,,logmel,80,0,0,0,2.017592430114746e-05,115.36150791005835,0.51,0.2943342539719502
location,10m_15db,3,environment,10m_15db,10.0,15.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,0.51,0.2943342539719502
location,10m_15db,3,environment,10m_15db,10.0,15.0,True,,mfcc,26,0,0,0,0.0001242907485961914,19.518284850028557,0.51,0.2943342539719502
location,10m_15db,3,environment,10m_15db,10.0,15.0,True,,time_domain,11,1,0,0,0.0029917410041680336,322.0514454671116,0.51,0.2943342539719502
location,10m_15db,3,environment,10m_15db,10.0,15.0,True,,frame_energy,8,2,0,0,0.00011432056513526511,28841904644963.105,0.51,0.2943342539719502
location,10m_15db,3,environment,10m_15db,10.0,15.0,True,,band_ratios,8,3,3,0,7.213711738586425e-07,0.9467313363308607,0.51,0.2943342539719502
location,10m_15db,3,environment,10m_15db,10.0,15.0,True,,local_transient,4,1,0,0,4.050676797735933e-05,5772703090760.371,0.51,0.2943342539719502
location,10m_5db,4,environment,10m_5db,10.0,5.0,True,,logmel,80,0,0,0,2.017592430114746e-05,129.83935117929383,0.52,0.31879876577744853
location,10m_5db,4,environment,10m_5db,10.0,5.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,0.52,0.31879876577744853
location,10m_5db,4,environment,10m_5db,10.0,5.0,True,,mfcc,26,0,0,0,0.0001242907485961914,20.464176170904373,0.52,0.31879876577744853
location,10m_5db,4,environment,10m_5db,10.0,5.0,True,,time_domain,11,1,0,0,0.0029917410041680336,660.6960027811391,0.52,0.31879876577744853
location,10m_5db,4,environment,10m_5db,10.0,5.0,True,,frame_energy,8,2,0,0,0.00011432056513526511,299302312146757.4,0.52,0.31879876577744853
location,10m_5db,4,environment,10m_5db,10.0,5.0,True,,band_ratios,8,3,3,0,7.213711738586425e-07,0.9458746266025962,0.52,0.31879876577744853
location,10m_5db,4,environment,10m_5db,10.0,5.0,True,,local_transient,4,1,0,0,4.050676797735933e-05,59803471447967.69,0.52,0.31879876577744853
location,30m_30db,5,environment,30m_30db,30.0,30.0,True,,logmel,80,0,0,0,2.017592430114746e-05,78.91894804151491,0.61,0.2727411870290969
location,30m_30db,5,environment,30m_30db,30.0,30.0,True,,spectral_stats,44,9,3,3,0.0068125,inf,0.61,0.2727411870290969
location,30m_30db,5,environment,30m_30db,30.0,30.0,True,,mfcc,26,0,0,0,0.0001242907485961914,16.761785916131632,0.61,0.2727411870290969
