instrument,analysis_condition,family,ablation_protocol,ablated_or_included_group,feature_set,n_tracking_samples,n_features,best_feature,best_spearman_rho,count_abs_rho_ge_0p9,endpoint_ba_mean,endpoint_ba_sd,endpoint_cv_folds,baseline_full_endpoint_ba,endpoint_ba_delta_from_full
traditional_181d,10m_15db,location,logo,frame_energy,without_frame_energy,25,173,feat_mfcc_11_mean,-0.6158046643338978,0,0.51,0.2943342539719502,50,0.51,0.0
traditional_181d,10m_15db,location,logo,band_ratios,without_band_ratios,25,173,feat_mfcc_11_mean,-0.6158046643338978,0,0.51,0.2943342539719502,50,0.51,0.0
traditional_181d,10m_15db,location,logo,local_transient,without_local_transient,25,177,feat_mfcc_11_mean,-0.6158046643338978,0,0.51,0.2943342539719502,50,0.51,0.0
traditional_181d,10m_15db,location,sgi,logmel,only_logmel,25,80,feat_logmel_21_std,0.5805037600090248,0,0.46,0.33258419219493757,50,0.51,-0.04999999999999999
traditional_181d,10m_15db,location,sgi,spectral_stats,only_spectral_stats,25,44,feat_10ms_spectral_flux_mean,0.4236108518984775,0,0.46,0.24411439272335803,50,0.51,-0.04999999999999999
traditional_181d,10m_15db,location,sgi,mfcc,only_mfcc,25,26,feat_mfcc_11_mean,-0.6158046643338978,0,0.56,0.2969229955832361,50,0.51,0.050000000000000044
traditional_181d,10m_15db,location,sgi,time_domain,only_time_domain,25,11,feat_zcr,0.3805384896848006,0,0.57,0.24764194033371023,50,0.51,0.05999999999999994
traditional_181d,10m_15db,location,sgi,frame_energy,only_frame_energy,25,8,feat_frame_energy_std,-0.23141703946305714,0,0.34,0.3416645926600399,50,0.51,-0.16999999999999998
traditional_181d,10m_15db,location,sgi,band_ratios,only_band_ratios,25,8,feat_band_0_1000_ratio,-0.2902518800045124,0,0.55,0.23145502494313785,50,0.51,0.040000000000000036
traditional_181d,10m_15db,location,sgi,local_transient,only_local_transient,25,4,feat_5ms_frame_energy_std,-0.18827148973265667,0,0.3,0.34992710611188255,50,0.51,-0.21000000000000002
traditional_181d,10m_15db,decay,logo,logmel,without_logmel,25,101,feat_5ms_frame_energy_p10,-0.3961545929791317,0,0.58,0.2920721185751553,50,0.67,-0.09000000000000008
traditional_181d,10m_15db,decay,logo,spectral_stats,without_spectral_stats,25,137,feat_logmel_39_std,0.6471832459560073,0,0.69,0.2451571757390073,50,0.67,0.019999999999999907
traditional_181d,10m_15db,decay,logo,mfcc,without_mfcc,25,155,feat_logmel_39_std,0.6471832459560073,0,0.7,0.2857142857142857,50,0.67,0.029999999999999916
traditional_181d,10m_15db,decay,logo,time_domain,without_time_domain,25,170,feat_logmel_39_std,0.6471832459560073,0,0.68,0.2813959371941744,50,0.67,0.010000000000000009
