instrument,feature_set,analysis_condition,family,artifact_type,cell,distance_m,snr_db,air_absorption,degradation,n_tracking_samples,n_features,best_feature,best_spearman_rho,count_abs_rho_ge_0p9,endpoint_ba_mean,endpoint_ba_sd,endpoint_cv_folds
traditional_181d,full,mid_mp3_128k,location,degradation,10m_15db,10.0,15.0,True,mp3_128k,25,181,feat_mfcc_11_mean,-0.5844260827117884,0,0.42,0.23386722205349858,50
traditional_181d,full,mid_mp3_128k,decay,degradation,10m_15db,10.0,15.0,True,mp3_128k,25,181,feat_logmel_21_mean,-0.44714478811505964,0,0.67,0.27866298861615946,50
traditional_181d,full,mid_mp3_128k,sharpness,degradation,10m_15db,10.0,15.0,True,mp3_128k,25,181,feat_logmel_03_std,-0.6589502140642984,0,0.72,0.3057276365576099,50
traditional_181d,full,mid_aac_64k,intensity,degradation,10m_15db,10.0,15.0,True,aac_64k,25,181,feat_logmel_03_mean,0.9609690621771018,57,1.0,0.0,50
traditional_181d,full,mid_aac_64k,location,degradation,10m_15db,10.0,15.0,True,aac_64k,25,181,feat_logmel_21_std,0.6001153735228432,0,0.58,0.3692242280948596,50
traditional_181d,full,mid_aac_64k,decay,degradation,10m_15db,10.0,15.0,True,aac_64k,25,181,feat_logmel_27_std,0.5099019513592785,0,0.68,0.2813959371941744,50
traditional_181d,full,mid_aac_64k,sharpness,degradation,10m_15db,10.0,15.0,True,aac_64k,25,181,feat_logmel_03_std,-0.6550278913615346,0,0.65,0.23145502494313785,50
traditional_181d,full,mid_truncate_1p0s,intensity,degradation,10m_15db,10.0,15.0,True,truncate_1p0s,25,181,feat_logmel_00_mean,0.9648913848798655,57,1.0,0.0,50
traditional_181d,full,mid_truncate_1p0s,location,degradation,10m_15db,10.0,15.0,True,truncate_1p0s,25,181,feat_mfcc_11_mean,-0.5961930508200795,0,0.66,0.2356060357495806,50
traditional_181d,full,mid_truncate_1p0s,decay,degradation,10m_15db,10.0,15.0,True,truncate_1p0s,25,181,feat_logmel_39_std,0.5373582102786243,0,0.73,0.25172871695294424,50
traditional_181d,full,mid_truncate_1p0s,sharpness,degradation,10m_15db,10.0,15.0,True,truncate_1p0s,25,181,feat_logmel_03_std,-0.7256297000112809,0,0.67,0.29640705601780615,50
traditional_181d,full,mid_truncate_0p5s,intensity,degradation,10m_15db,10.0,15.0,True,truncate_0p5s,25,181,feat_logmel_15_mean,0.9609690621771018,57,1.0,0.0,50
traditional_181d,full,mid_truncate_0p5s,location,degradation,10m_15db,10.0,15.0,True,truncate_0p5s,25,181,feat_mfcc_08_mean,-0.5491251783869152,0,0.41,0.3144480100436448,50
traditional_181d,full,mid_truncate_0p5s,decay,degradation,10m_15db,10.0,15.0,True,truncate_0p5s,25,181,feat_logmel_39_std,0.5020573059537511,0,0.7,0.2857142857142857,50
traditional_181d,full,mid_truncate_0p5s,sharpness,degradation,10m_15db,10.0,15.0,True,truncate_0p5s,25,181,feat_logmel_03_std,-0.7687752497416813,0,0.8,0.24743582965269675,50
m2d_2304d,full,reference,intensity,environment,reference,1.0,,False,,25,2304,feat_m2d_40ms_last_mean_0013,0.9805806756909201,404,1.0,0.0,50
m2d_2304d,full,reference,location,environment,reference,1.0,,False,,25,2304,feat_m2d_40ms_last_mean_0112,0.9570467394743379,59,1.0,0.0,50
m2d_2304d,full,reference,decay,environment,reference,1.0,,False,,25,2304,feat_m2d_40ms_last_mean_0012,-0.9805806756909201,463,1.0,0.0,50
m2d_2304d,full,reference,sharpness,environment,reference,1.0,,False,,25,2304,feat_m2d_40ms_last_mean_0373,-0.9805806756909201,204,1.0,0.0,50
m2d_2304d,full,10m_15db,intensity,environment,10m_15db,10.0,15.0,True,,25,2304,feat_m2d_40ms_last_mean_0000,-0.9609690621771018,54,1.0,0.0,50
m2d_2304d,full,10m_15db,location,environment,10m_15db,10.0,15.0,True,,25,2304,feat_m2d_40ms_last_std_0646,0.7256297000112809,0,0.35,0.32340661207633625,50
m2d_2304d,full,10m_15db,decay,environment,10m_15db,10.0,15.0,True,,25,2304,feat_m2d_40ms_last_std_0467,0.7177850546057536,0,0.84,0.2356060357495806,50
m2d_2304d,full,10m_15db,sharpness,environment,10m_15db,10.0,15.0,True,,25,2304,feat_m2d_40ms_last_max_0262,0.8315324129859002,0,0.9,0.20203050891044214,50
m2d_2304d,full,mid_none,intensity,degradation,10m_15db,10.0,15.0,True,none,25,2304,feat_m2d_40ms_last_mean_0000,-0.9609690621771018,54,1.0,0.0,50
m2d_2304d,full,mid_none,location,degradation,10m_15db,10.0,15.0,True,none,25,2304,feat_m2d_40ms_last_std_0646,0.7256297000112809,0,0.35,0.32340661207633625,50
m2d_2304d,full,mid_none,decay,degradation,10m_15db,10.0,15.0,True,none,25,2304,feat_m2d_40ms_last_std_0467,0.7177850546057536,0,0.84,0.2356060357495806,50
m2d_2304d,full,mid_none,sharpness,degradation,10m_15db,10.0,15.0,True,none,25,2304,feat_m2d_40ms_last_max_0262,0.8315324129859002,0,0.9,0.20203050891044214,50
m2d_2304d,full,mid_clip_peak_0p5,intensity,degradation,10m_15db,10.0,15.0,True,clip_peak_0p5,25,2304,feat_m2d_40ms_last_max_0573,0.9727360302853928,51,1.0,0.0,50
m2d_2304d,full,mid_clip_peak_0p5,location,degradation,10m_15db,10.0,15.0,True,clip_peak_0p5,25,2304,feat_m2d_40ms_last_std_0646,0.7217073773085172,0,0.29,0.32087253493166007,50
m2d_2304d,full,mid_clip_peak_0p5,decay,degradation,10m_15db,10.0,15.0,True,clip_peak_0p5,25,2304,feat_m2d_40ms_last_max_0438,0.662872536767062,0,0.67,0.3587108436997063,50
m2d_2304d,full,mid_clip_peak_0p5,sharpness,degradation,10m_15db,10.0,15.0,True,clip_peak_0p5,25,2304,feat_m2d_40ms_last_max_0262,0.8746779627163007,0,0.92,0.1851640199545103,50
m2d_2304d,full,mid_clip_peak_0p25,intensity,degradation,10m_15db,10.0,15.0,True,clip_peak_0p25,25,2304,feat_m2d_40ms_last_mean_0573,0.9570467394743379,10,1.0,0.0,50
m2d_2304d,full,mid_clip_peak_0p25,location,degradation,10m_15db,10.0,15.0,True,clip_peak_0p25,25,2304,feat_m2d_40ms_last_mean_0622,-0.5844260827117884,0,0.19,0.24515717573900733,50
m2d_2304d,full,mid_clip_peak_0p25,decay,degradation,10m_15db,10.0,15.0,True,clip_peak_0p25,25,2304,feat_m2d_40ms_last_max_0513,-0.651105568658771,0,0.6,0.335029697130245,50
m2d_2304d,full,mid_clip_peak_0p25,sharpness,degradation,10m_15db,10.0,15.0,True,clip_peak_0p25,25,2304,feat_m2d_40ms_last_mean_0541,-0.7138627319029899,0,0.64,0.3037184517924185,50
m2d_2304d,full,mid_mp3_128k,intensity,degradation,10m_15db,10.0,15.0,True,mp3_128k,25,2304,feat_m2d_40ms_last_max_0573,0.9648913848798655,41,1.0,0.0,50
m2d_2304d,full,mid_mp3_128k,location,degradation,10m_15db,10.0,15.0,True,mp3_128k,25,2304,feat_m2d_40ms_last_std_0686,0.662872536767062,0,0.32,0.31558174334820743,50
m2d_2304d,full,mid_mp3_128k,decay,degradation,10m_15db,10.0,15.0,True,mp3_128k,25,2304,feat_m2d_40ms_last_std_0467,0.6942511183891715,0,0.72,0.28855728395320224,50
m2d_2304d,full,mid_mp3_128k,sharpness,degradation,10m_15db,10.0,15.0,True,mp3_128k,25,2304,feat_m2d_40ms_last_max_0482,0.8825226081218283,0,0.96,0.13702375780893483,50
m2d_2304d,full,mid_aac_64k,intensity,degradation,10m_15db,10.0,15.0,True,aac_64k,25,2304,feat_m2d_40ms_last_mean_0458,0.9570467394743379,50,1.0,0.0,50
m2d_2304d,full,mid_aac_64k,location,degradation,10m_15db,10.0,15.0,True,aac_64k,25,2304,feat_m2d_40ms_last_std_0646,0.7530859589306267,0,0.3,0.2672612419124244,50
m2d_2304d,full,mid_aac_64k,decay,degradation,10m_15db,10.0,15.0,True,aac_64k,25,2304,feat_m2d_40ms_last_std_0467,0.6903287956864078,0,0.67,0.2786629886161594,50
m2d_2304d,full,mid_aac_64k,sharpness,degradation,10m_15db,10.0,15.0,True,aac_64k,25,2304,feat_m2d_40ms_last_max_0090,0.7962315086610272,0,0.8,0.30304576336566325,50
m2d_2304d,full,mid_truncate_1p0s,intensity,degradation,10m_15db,10.0,15.0,True,truncate_1p0s,25,2304,feat_m2d_40ms_last_max_0573,0.9648913848798655,36,1.0,0.0,50
m2d_2304d,full,mid_truncate_1p0s,location,degradation,10m_15db,10.0,15.0,True,truncate_1p0s,25,2304,feat_m2d_40ms_last_std_0243,-0.6981734410919351,0,0.35,0.2719918966379967,50
m2d_2304d,full,mid_truncate_1p0s,decay,degradation,10m_15db,10.0,15.0,True,truncate_1p0s,25,2304,feat_m2d_40ms_last_mean_0397,-0.6707171821725895,0,0.83,0.23925906034920325,50
m2d_2304d,full,mid_truncate_1p0s,sharpness,degradation,10m_15db,10.0,15.0,True,truncate_1p0s,25,2304,feat_m2d_40ms_last_max_0196,0.8511440264997187,0,0.83,0.23925906034920325,50
m2d_2304d,full,mid_truncate_0p5s,intensity,degradation,10m_15db,10.0,15.0,True,truncate_0p5s,25,2304,feat_m2d_40ms_last_max_0653,-0.9688137075826291,27,1.0,0.0,50
m2d_2304d,full,mid_truncate_0p5s,location,degradation,10m_15db,10.0,15.0,True,truncate_0p5s,25,2304,feat_m2d_40ms_last_max_0246,-0.6589502140642984,0,0.74,0.25233602475222416,50
m2d_2304d,full,mid_truncate_0p5s,decay,degradation,10m_15db,10.0,15.0,True,truncate_0p5s,25,2304,feat_m2d_40ms_last_max_0594,0.686406472983644,0,0.72,0.28855728395320224,50
m2d_2304d,full,mid_truncate_0p5s,sharpness,degradation,10m_15db,10.0,15.0,True,truncate_0p5s,25,2304,feat_m2d_40ms_last_max_0062,0.847221703796955,0,0.98,0.09897433186107872,50
