sample_id,status,action,reason,published_path,archive_path
F_189,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_189,dataset_rejected\flyball_v2_20260727\batch_01\F_189
F_191,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_191,dataset_rejected\flyball_v2_20260727\batch_01\F_191
F_192,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_192,dataset_rejected\flyball_v2_20260727\batch_01\F_192
F_193,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_193,dataset_rejected\flyball_v2_20260727\batch_01\F_193
F_194,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_194,dataset_rejected\flyball_v2_20260727\batch_01\F_194
F_195,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_195,dataset_rejected\flyball_v2_20260727\batch_01\F_195
F_196,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_196,dataset_rejected\flyball_v2_20260727\batch_01\F_196
F_198,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_198,dataset_rejected\flyball_v2_20260727\batch_01\F_198
F_199,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_199,dataset_rejected\flyball_v2_20260727\batch_01\F_199
F_200,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_200,dataset_rejected\flyball_v2_20260727\batch_01\F_200
F_201,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_201,dataset_rejected\flyball_v2_20260727\batch_01\F_201
F_202,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_202,dataset_rejected\flyball_v2_20260727\batch_01\F_202
F_204,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_204,dataset_rejected\flyball_v2_20260727\batch_01\F_204
F_205,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_205,dataset_rejected\flyball_v2_20260727\batch_01\F_205
F_207,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_207,dataset_rejected\flyball_v2_20260727\batch_01\F_207
F_208,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_208,dataset_rejected\flyball_v2_20260727\batch_01\F_208
F_210,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_210,dataset_rejected\flyball_v2_20260727\batch_01\F_210
F_211,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_211,dataset_rejected\flyball_v2_20260727\batch_01\F_211
F_212,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_212,dataset_rejected\flyball_v2_20260727\batch_01\F_212
F_213,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_213,dataset_rejected\flyball_v2_20260727\batch_01\F_213
F_215,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_215,dataset_rejected\flyball_v2_20260727\batch_01\F_215
F_216,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_216,dataset_rejected\flyball_v2_20260727\batch_01\F_216
F_217,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_217,dataset_rejected\flyball_v2_20260727\batch_01\F_217
F_218,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_218,dataset_rejected\flyball_v2_20260727\batch_01\F_218
F_219,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_219,dataset_rejected\flyball_v2_20260727\batch_01\F_219
F_221,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_221,dataset_rejected\flyball_v2_20260727\batch_01\F_221
F_222,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_222,dataset_rejected\flyball_v2_20260727\batch_01\F_222
F_223,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_223,dataset_rejected\flyball_v2_20260727\batch_01\F_223
F_224,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_224,dataset_rejected\flyball_v2_20260727\batch_01\F_224
F_225,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_225,dataset_rejected\flyball_v2_20260727\batch_01\F_225
F_226,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_226,dataset_rejected\flyball_v2_20260727\batch_01\F_226
F_227,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_227,dataset_rejected\flyball_v2_20260727\batch_01\F_227
F_228,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_228,dataset_rejected\flyball_v2_20260727\batch_01\F_228
F_229,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_229,dataset_rejected\flyball_v2_20260727\batch_01\F_229
F_230,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_230,dataset_rejected\flyball_v2_20260727\batch_01\F_230
F_231,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_231,dataset_rejected\flyball_v2_20260727\batch_01\F_231
F_232,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_232,dataset_rejected\flyball_v2_20260727\batch_01\F_232
F_234,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_234,dataset_rejected\flyball_v2_20260727\batch_01\F_234
F_235,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_235,dataset_rejected\flyball_v2_20260727\batch_01\F_235
F_236,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_236,dataset_rejected\flyball_v2_20260727\batch_01\F_236
F_237,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_237,dataset_rejected\flyball_v2_20260727\batch_01\F_237
F_238,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_238,dataset_rejected\flyball_v2_20260727\batch_01\F_238
F_239,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_239,dataset_rejected\flyball_v2_20260727\batch_01\F_239
F_241,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_241,dataset_rejected\flyball_v2_20260727\batch_01\F_241
F_242,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_242,dataset_rejected\flyball_v2_20260727\batch_01\F_242
F_243,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_243,dataset_rejected\flyball_v2_20260727\batch_01\F_243
F_244,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_244,dataset_rejected\flyball_v2_20260727\batch_01\F_244
F_246,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_246,dataset_rejected\flyball_v2_20260727\batch_01\F_246
F_248,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_248,dataset_rejected\flyball_v2_20260727\batch_01\F_248
F_249,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_249,dataset_rejected\flyball_v2_20260727\batch_01\F_249
F_250,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_250,dataset_rejected\flyball_v2_20260727\batch_01\F_250
F_251,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_251,dataset_rejected\flyball_v2_20260727\batch_01\F_251
F_252,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_252,dataset_rejected\flyball_v2_20260727\batch_01\F_252
F_254,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_254,dataset_rejected\flyball_v2_20260727\batch_01\F_254
F_255,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_255,dataset_rejected\flyball_v2_20260727\batch_01\F_255
F_256,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_256,dataset_rejected\flyball_v2_20260727\batch_01\F_256
F_257,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_257,dataset_rejected\flyball_v2_20260727\batch_01\F_257
F_258,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_258,dataset_rejected\flyball_v2_20260727\batch_01\F_258
F_260,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_260,dataset_rejected\flyball_v2_20260727\batch_01\F_260
F_261,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_261,dataset_rejected\flyball_v2_20260727\batch_01\F_261
F_264,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_264,dataset_rejected\flyball_v2_20260727\batch_01\F_264
F_265,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_265,dataset_rejected\flyball_v2_20260727\batch_01\F_265
F_266,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_266,dataset_rejected\flyball_v2_20260727\batch_01\F_266
F_267,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_267,dataset_rejected\flyball_v2_20260727\batch_01\F_267
F_268,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_268,dataset_rejected\flyball_v2_20260727\batch_01\F_268
F_269,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_269,dataset_rejected\flyball_v2_20260727\batch_01\F_269
F_270,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_270,dataset_rejected\flyball_v2_20260727\batch_01\F_270
F_271,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_271,dataset_rejected\flyball_v2_20260727\batch_01\F_271
F_273,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_273,dataset_rejected\flyball_v2_20260727\batch_01\F_273
F_274,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_274,dataset_rejected\flyball_v2_20260727\batch_01\F_274
F_275,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_275,dataset_rejected\flyball_v2_20260727\batch_01\F_275
F_277,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_277,dataset_rejected\flyball_v2_20260727\batch_01\F_277
F_278,incomplete,empty_placeholder,missing timing or semantics stage,dataset\fly_ball\Codex_Workstation\F_278,dataset_rejected\flyball_v2_20260727\batch_01\F_278
