sample_id,status,action,reason,published_path,archive_path
F_055,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_055,dataset_rejected\flyball_v2_20260727\batch_01\F_055
F_056,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_056,dataset_rejected\flyball_v2_20260727\batch_01\F_056
F_057,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_057,dataset_rejected\flyball_v2_20260727\batch_01\F_057
F_058,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_058,dataset_rejected\flyball_v2_20260727\batch_01\F_058
F_059,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_059,dataset_rejected\flyball_v2_20260727\batch_01\F_059
F_060,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_060,dataset_rejected\flyball_v2_20260727\batch_01\F_060
F_061,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_061,dataset_rejected\flyball_v2_20260727\batch_01\F_061
F_062,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_062,dataset_rejected\flyball_v2_20260727\batch_01\F_062
F_063,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_063,dataset_rejected\flyball_v2_20260727\batch_01\F_063
F_064,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_064,dataset_rejected\flyball_v2_20260727\batch_01\F_064
F_065,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_065,dataset_rejected\flyball_v2_20260727\batch_01\F_065
F_066,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_066,dataset_rejected\flyball_v2_20260727\batch_01\F_066
F_067,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_067,dataset_rejected\flyball_v2_20260727\batch_01\F_067
F_068,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_068,dataset_rejected\flyball_v2_20260727\batch_01\F_068
F_069,pass,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_069,dataset_rejected\flyball_v2_20260727\batch_01\F_069
F_070,pass,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_070,dataset_rejected\flyball_v2_20260727\batch_01\F_070
F_071,manual_review,empty_placeholder,audio-candidate timing evidence gate failed,dataset\fly_ball\Codex_Workstation\F_071,dataset_rejected\flyball_v2_20260727\batch_01\F_071
F_072,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_072,dataset_rejected\flyball_v2_20260727\batch_01\F_072
F_073,pass,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_073,dataset_rejected\flyball_v2_20260727\batch_01\F_073
F_074,auto_applied,publish_approved,field-level evidence applied; unverified secondary fields retained,dataset\fly_ball\Codex_Workstation\F_074,dataset_rejected\flyball_v2_20260727\batch_01\F_074
